region,mae,count,median_actual,median_predicted,mae_pct
East Midlands,13612.201754385966,114,220000.0,222158.5,6.2
East of England,23583.53896103896,154,370500.0,375540.0,6.4
London - Inner,55407.730769230766,130,856000.0,844460.0,6.5
London - Outer,33743.3984375,128,549500.0,560445.0,6.1
North East,8711.757575757576,132,146000.0,145061.0,6.0
North West,13018.423841059603,151,216000.0,216721.0,6.0
Scotland,11623.7890625,128,176500.0,178350.5,6.6
South East,27361.496,125,414000.0,419747.0,6.6
South West,21927.154471544716,123,350000.0,362565.0,6.3
Wales,12180.854166666666,144,194000.0,193226.5,6.3
West Midlands,15961.631147540984,122,235000.0,234722.5,6.8
Yorkshire & Humber,11945.630872483222,149,194000.0,188210.0,6.2
